x, y_biblio(A), y_modele(B), abs_error, pct_error
2.833313796741296464e+00,-1.909413854351685586e+03,-3.837765957446805260e+03,1.928352103095119674e+03,1.009918357248886736e+02
2.849900363380612145e+00,-1.909413854351685586e+03,-3.886968085106382205e+03,1.977554230754696619e+03,1.035686541316181604e+02
2.866486930019927382e+00,-1.909413854351685586e+03,-3.886968085106382205e+03,1.977554230754696619e+03,1.035686541316181604e+02
2.883073496659242618e+00,-1.680723296688526898e+04,-3.936170212765959150e+03,1.287106275411930983e+04,7.658049828593877351e+01
2.899660063298558299e+00,-2.175843694493783187e+04,-3.936170212765959150e+03,1.782226673217187272e+04,8.190968302214501762e+01
2.916246629937873536e+00,-2.175843694493783187e+04,-3.985372340425528819e+03,1.777306460451230305e+04,8.168355405992186036e+01
2.932833196577189216e+00,-5.208545659305658774e+03,-3.985372340425528819e+03,1.223173318880129955e+03,2.348397036118502257e+01
2.949419763216504453e+00,-1.953818827708702884e+03,-4.034574468085105764e+03,2.080755640376402880e+03,1.064968568665377404e+02
2.966006329855820134e+00,-1.993445490722063369e+03,-4.034574468085105764e+03,2.041128977363042395e+03,1.023920135696164522e+02
2.982592896495135371e+00,-2.039110105803656097e+03,-4.065279555271156369e+03,2.026169449467500272e+03,9.936537726436034745e+01
2.999179463134451051e+00,-2.042628774422733841e+03,-4.083776595744682709e+03,2.041147821321948868e+03,9.992749768732677751e+01
3.015766029773766288e+00,-2.042628774422733841e+03,-4.127059670452727005e+03,2.084430896029993164e+03,1.020464864752075727e+02
3.032352596413081969e+00,-2.042628774422733841e+03,-4.132978723404252378e+03,2.090349948981518537e+03,1.023362627197039672e+02
3.048939163052397205e+00,-2.042628774422733841e+03,-4.139637657974722060e+03,2.097008883551988220e+03,1.026622609947626330e+02
3.065525729691712442e+00,-2.045408314426560537e+03,-4.182180851063829323e+03,2.136772536637268786e+03,1.044667962658752884e+02
3.082112296331028123e+00,-2.087033747779751138e+03,-4.182180851063829323e+03,2.095147103284078185e+03,1.003887505658669141e+02
3.098698862970343360e+00,-2.087033747779751138e+03,-4.231382978723406268e+03,2.144349230943655130e+03,1.027462652784066250e+02
3.115285429609659040e+00,-2.093592212957319134e+03,-4.231382978723406268e+03,2.137790765766087134e+03,1.021111347537128466e+02
3.131871996248974277e+00,-2.131438721136764798e+03,-4.280585106382975937e+03,2.149146385246211139e+03,1.008307845744681970e+02
3.148458562888289958e+00,-2.131438721136764798e+03,-4.280585106382975937e+03,2.149146385246211139e+03,1.008307845744681970e+02
3.165045129527605194e+00,-2.131438721136764798e+03,-4.329787234042552882e+03,2.198348512905788084e+03,1.031391843971633477e+02
3.181631696166920875e+00,-2.131438721136764798e+03,-4.329787234042552882e+03,2.198348512905788084e+03,1.031391843971633477e+02
3.198218262806236112e+00,-2.144295394937237688e+03,-4.378989361702129827e+03,2.234693966764892139e+03,1.042157704596619112e+02
3.214804829445551793e+00,-2.175843694493782095e+03,-4.378989361702129827e+03,2.203145667208347732e+03,1.012547763786367767e+02
3.231391396084867029e+00,-2.206595608993050064e+03,-4.405625099984000371e+03,2.199029490990950308e+03,9.965711352042649196e+01
3.247977962724182266e+00,-2.264653641207813052e+03,-4.428191489361699496e+03,2.163537848153886443e+03,9.553504380475602886e+01
3.264564529363497947e+00,-2.264653641207813052e+03,-4.467405215165575100e+03,2.202751573957762048e+03,9.726659891280166903e+01
3.281151096002813183e+00,-2.226343876361062485e+03,-4.477393617021276441e+03,2.251049740660213956e+03,1.011097056731205868e+02
3.297737662642128864e+00,-2.196258218641739859e+03,-4.479983202687571065e+03,2.283724984045831206e+03,1.039825355990328148e+02
3.314324229281444101e+00,-2.220248667850799393e+03,-4.526595744680853386e+03,2.306347076830053993e+03,1.038778723404256255e+02
3.330910795920759782e+00,-1.153137455228094223e+04,-4.526595744680853386e+03,7.004778807600088840e+03,6.074539315189030475e+01
3.347497362560075018e+00,-2.024866785079928741e+04,-4.575797872340423055e+03,1.567286997845886435e+04,7.740198068309072710e+01
3.364083929199390699e+00,-2.024866785079928741e+04,-4.575797872340423055e+03,1.567286997845886435e+04,7.740198068309072710e+01
3.380670495838705936e+00,-9.456723811371653937e+03,-4.625000000000000000e+03,4.831723811371653937e+03,5.109299909511511117e+01
3.397257062478021616e+00,-2.309058614564830350e+03,-4.625000000000000000e+03,2.315941385435169650e+03,1.002980769230769909e+02
3.413843629117336853e+00,-2.338290630784853420e+03,-4.671612541993285049e+03,2.333321911208431629e+03,9.978750633000851167e+01
3.430430195756652090e+00,-2.353463587921847648e+03,-4.674202127659576945e+03,2.320738539737729297e+03,9.860949417904463132e+01
3.447016762395967771e+00,-2.353463587921847648e+03,-4.723404255319146614e+03,2.369940667397298967e+03,1.007001204335606985e+02
3.463603329035283007e+00,-2.419485470709373658e+03,-4.723404255319146614e+03,2.303918784609772956e+03,9.522350154614825612e+01
3.480189895674598688e+00,-1.628758911444666592e+04,-4.745970644696845739e+03,1.154161846974982109e+04,7.086142945190523790e+01
3.496776462313913925e+00,-2.038188277087033566e+04,-4.772606382978723559e+03,1.560927638789161210e+04,7.658407500115885114e+01
3.513363028953229605e+00,-1.427476492066450010e+04,-4.807750759878424105e+03,9.467014160786075081e+03,6.631993040446776888e+01
3.529949595592544842e+00,-3.954874220089202936e+03,-4.821808510638300504e+03,8.669342905490975681e+02,2.192065391474178782e+01
3.546536162231860523e+00,-2.442273534635878605e+03,-4.821808510638300504e+03,2.379534976002421899e+03,9.743114119922647376e+01
