x,y
-0.13333333333333333,-11.875
-0.13333333333333333,-11.25
-0.13333333333333333,-10.625
-0.13333333333333333,-10.0
-0.13333333333333333,-9.375
-0.13333333333333333,-3.75
-0.13333333333333333,-3.125
-0.13333333333333333,266.25
-0.13333333333333333,266.875
-0.13333333333333333,275.0
-0.13333333333333333,275.625
0.0,-11.875
0.0,-11.25
0.0,-10.625
0.0,-3.75
0.0,-3.125
0.0,266.875
0.0,267.5
0.0,268.125
0.0,268.75
0.0,269.375
0.0,270.0
0.0,270.625
0.0,271.25
0.0,271.875
0.0,272.5
0.0,273.125
0.0,273.75
0.0,274.375
0.0,275.0
0.13333333333333333,269.375
0.13333333333333333,270.0
0.13333333333333333,270.625
0.13333333333333333,271.25
0.13333333333333333,271.875
0.13333333333333333,272.5
0.9333333333333333,-3.75
0.9333333333333333,-3.125
0.9333333333333333,136.25
0.9333333333333333,136.875
0.9333333333333333,275.0
0.9333333333333333,275.625
0.9333333333333333,276.25
1.0666666666666667,-3.75
1.0666666666666667,-3.125
1.0666666666666667,136.25
1.0666666666666667,136.875
1.0666666666666667,275.625
1.8666666666666667,-3.75
1.8666666666666667,275.625
1.8666666666666667,339.375
1.8666666666666667,340.0
1.8666666666666667,340.625
1.8666666666666667,341.25
1.8666666666666667,341.875
2.0,136.875
2.0,275.625
2.0,336.25
2.0,336.875
2.0,337.5
2.0,338.125
2.0,338.75
2.0,339.375
2.0,340.0
2.0,340.625
2.0,341.25
2.0,341.875
2.0,342.5
2.0,343.125
2.0,343.75
2.0,344.375
2.1333333333333333,276.25
2.1333333333333333,335.625
2.533333333333333,196.25
2.533333333333333,196.875
2.533333333333333,197.5
2.533333333333333,198.125
2.533333333333333,198.75
2.533333333333333,199.375
2.533333333333333,200.0
2.533333333333333,200.625
2.533333333333333,201.25
2.533333333333333,201.875
2.533333333333333,202.5
2.533333333333333,203.125
2.533333333333333,203.75
2.533333333333333,204.375
2.533333333333333,205.0
2.533333333333333,205.625
2.533333333333333,206.25
2.533333333333333,269.375
2.6666666666666665,-9.375
2.6666666666666665,56.875
2.6666666666666665,61.25
2.6666666666666665,61.875
2.6666666666666665,130.625
2.6666666666666665,270.0
2.8,-8.75
2.8,57.5
2.8,58.125
2.8,58.75
2.8,59.375
2.8,60.0
2.8,60.625
2.8,61.25
2.8,131.25
2.8,270.625
2.8,335.625
2.8,336.25
2.8,344.375
2.8,345.0
2.933333333333333,-13.75
2.933333333333333,-13.125
2.933333333333333,-8.75
2.933333333333333,-8.125
2.933333333333333,-7.5
2.933333333333333,58.125
2.933333333333333,58.75
2.933333333333333,59.375
2.933333333333333,60.0
2.933333333333333,66.875
2.933333333333333,67.5
2.933333333333333,126.25
2.933333333333333,126.875
2.933333333333333,127.5
2.933333333333333,131.25
2.933333333333333,131.875
2.933333333333333,132.5
2.933333333333333,265.625
2.933333333333333,266.25
2.933333333333333,270.625
2.933333333333333,271.25
2.933333333333333,336.25
2.933333333333333,336.875
2.933333333333333,337.5
2.933333333333333,338.125
2.933333333333333,342.5
2.933333333333333,343.125
2.933333333333333,343.75
2.933333333333333,344.375
3.0666666666666664,-7.5
3.0666666666666664,-6.875
3.0666666666666664,-6.25
3.0666666666666664,126.875
3.0666666666666664,132.5
3.0666666666666664,133.125
3.0666666666666664,133.75
3.0666666666666664,265.625
3.0666666666666664,271.875
3.0666666666666664,272.5
3.0666666666666664,273.125
3.0666666666666664,338.125
3.0666666666666664,338.75
3.0666666666666664,339.375
3.0666666666666664,340.0
3.0666666666666664,340.625
3.0666666666666664,341.25
3.0666666666666664,341.875
3.0666666666666664,342.5
3.0666666666666664,343.125
3.2,348.125
